No,구,동,전용면적,년,월,거래금액(,면적금액,층,건축년도,도로명,경도,위도,상태
1250,서초구,서초동,139.54,2019,11,131000,939,4,2005,서초구 명달로15길 5,127.003546672112,37.4847293902967,정좌표
1251,서초구,서초동,84.23,2019,1,90000,1069,13,2006,서초구 서초대로 334,127.018289510819,37.4947075422116,정좌표
1252,서초구,서초동,243.9,2019,7,324000,1328,19,2000,서초구 서운로 122,127.025951232833,37.4945515932502,정좌표
1253,서초구,서초동,79.47,2019,1,165000,2076,7,1988,서초구 서초중앙로 200,127.014601718679,37.4982945472694,정좌표
1254,서초구,서초동,84.74,2019,7,88500,1044,9,2006,서초구 서초대로 340,127.018896982628,37.4949072350596,정좌표
1255,서초구,서초동,164.05,2019,8,151000,920,8,2002,서초구 명달로11길 31,127.002280866758,37.4828683441216,정좌표
1256,서초구,서초동,163.84,2019,11,130000,793,5,2004,서초구 서리풀4길 36,127.022264285805,37.487854239556,정좌표
1257,서초구,서초동,199.34,2019,7,141000,707,6,2004,서초구 명달로13길 12,127.003267357173,37.4842065090129,정좌표
1258,서초구,서초동,150.32,2019,11,155500,1034,3,2004,서초구 명달로11길 29-3,127.002607567671,37.4829587743546,정좌표
1259,서초구,서초동,179,2019,11,171000,955,4,2004,서초구 명달로11길 20,127.002809939285,37.4833583879657,정좌표
1260,서초구,서초동,143.78,2019,10,160000,1113,2,2004,서초구 명달로13길 21,127.002716386919,37.4836058683252,정좌표
1261,서초구,서초동,223.11,2019,9,260000,1165,6,2005,서초구 명달로13길 25,127.002416042832,37.4833781820905,정좌표
1262,서초구,서초동,192.57,2019,11,150000,779,2,2002,서초구 효령로67길 64,127.02285529944,37.490079562423,정좌표
1263,서초구,서초동,84.84,2019,3,50000,589,6,2004,서초구 반포대로10길 30,127.013567191307,37.4838076975354,정좌표
