,year,id,gu,pop,index,,평균,최소,최대,,id_popul,id_구,구,평균_유동인구_수,연도
286,2020,20,영등포구,4862617,286,,,,,,,,,,
287,2020,20,영등포구,2506338,287,,,,,,,,,,
288,2020,20,영등포구,4149634,288,,,,,,,,,,
289,2020,20,영등포구,1329506,289,,,,,,,,,,
290,2020,20,영등포구,1762650,290,,,,,,,,,,
291,2020,20,영등포구,2977363,291,,,,,,,,,,
292,2020,20,영등포구,5344366,292,,,,,,,,,,
293,2020,20,영등포구,4844712,293,,,,,,,,,,
294,2020,20,영등포구,7015524,294,,,,,,,,,,
295,2020,20,영등포구,5184226,295,,,,,,,,,,
296,2020,20,영등포구,5610155,296,,,,,,,,,,
297,2020,20,영등포구,2860034,297,,,,,,,,,,
298,2020,20,영등포구,2242148,298,,,,,,,,,,
299,2020,20,영등포구,3065540,299,,,,,,,,,,
300,2020,20,영등포구,2226680,300,,,,,,,,,,
301,2020,20,영등포구,6897585,301,,,,,,,,,,
302,2020,20,영등포구,5982683,302,,,,,,,,,,
303,2020,20,영등포구,5775207,303,,,,,,,,,,
304,2020,20,영등포구,5329958,304,,,,,,,,,,
305,2020,20,영등포구,4908323,305,,,,,,,,,,
306,2020,20,영등포구,4859495,306,,,,,,,,,,
307,2020,20,영등포구,4676391,307,,,,,,,,,,
308,2020,20,영등포구,5160363,308,,,,,,,,,,
309,2020,20,영등포구,4092549,309,,,,,,,,,,
310,2020,20,영등포구,2301194,310,,,,,,,,,,
311,2020,20,영등포구,4986782,311,,,,,,,,,,
312,2020,20,영등포구,5963583,312,,,,,,,,,,
313,2020,20,영등포구,3023099,313,,,,,,,,,,
314,2020,20,영등포구,2976584,314,,,,,,,,,,
315,2020,20,영등포구,3527298,315,,,,,,,,,,
316,2020,20,영등포구,4034327,316,,,,,,,,,,
317,2020,20,영등포구,5578410,317,,,,,,,,,,
318,2020,20,영등포구,7304677,318,,,,,,,,,,
319,2020,20,영등포구,2566570,319,,,,,,,,,,
320,2020,20,영등포구,4091637,320,,,,,,,,,,
321,2020,20,영등포구,4392185,321,,,,,,,,,,
322,2020,20,영등포구,3475237,322,,,,,,,,,,
323,2020,20,영등포구,2781333,323,,,,,,,,,,
324,2020,20,영등포구,2044114,324,,,,,,,,,,
325,2020,20,영등포구,2495993,325,,,,,,,,,,
326,2020,20,영등포구,2420238,326,,,,,,,,,,
327,2020,20,영등포구,4714354,327,,,,,,,,,,
