표준ID,ARS-ID,정류소명,X좌표,Y좌표,NUMPOINTS
"109900051","10667",윤성빌라.다리앞,127.0423378576,37.6790393926,"0"
"109900050","10697",에덴약국,127.0234476298,37.6513766485,"0"
"109900049","10698",도봉파크빌2단지,127.0514830676,37.6842353747,"0"
"109900170","10700",녹천북부역,127.0504758308,37.6456765382,"0"
"109900171","10701",창1동대우그린아파트,127.0485762773,37.6469802908,"0"
"109900172","10702",창일중학교,127.0478329774,37.64865145,"0"
"109900173","10703",창동역서측,127.0463025091,37.6523201832,"1"
"109900174","10704",상아아파트,127.0429878763,37.6531485755,"0"
"109900175","10705",옛고을길입구,127.0315762226,37.650930907,"0"
"109900176","10706",창일중학교,127.0476147649,37.6488359357,"0"
"109900177","10707",주공4단지후문,127.0484814141,37.6469050347,"0"
"109900167","10710",창동아이파크,127.0473105579,37.6610227854,"0"
"109900168","10711",북한산아이파크,127.0422137447,37.6591188782,"0"
"108900274","10712",한국사회봉사회,127.0150584673,37.6615952678,"0"
"109000410","10713",북한산아이파크,127.0419654539,37.6590093194,"0"
"109900169","10714",창동아이파크,127.0473019638,37.6609012887,"0"
"109900152","10722",도봉초등학교,127.0405808023,37.6784433031,"0"
"109900108","10734",경기장학관,127.02152345,37.6497626782,"0"
"109000361","10735",서원아파트,127.0465761218,37.6717035216,"0"
"109900135","10736",창동이마트,127.04620168,37.6512488016,"1"
"109900048","10737",누원고등학교.한신아파트정문,127.0508882197,37.6857723052,"0"
"109000364","10740",서울문화고등학교,127.0466203237,37.66364111,"0"
"109900153","10744",부대앞,127.0389686165,37.6781274137,"0"
"109900047","10745",소피아호텔,127.0351294476,37.651268561,"0"
"109900046","10747",청구아파트,127.02641349,37.657506626,"0"
"109900109","10754",쌍문1치안센터,127.0204549371,37.6501743173,"0"
"109900045","10757",무수골,127.0361707269,37.677813788,"0"
"109900044","10775",정의여중고,127.033132446,37.6511281784,"0"
"109900042","10777",덕성여대후문.효문중고교앞,127.0171718427,37.6527334438,"0"
"109900154","10778",부대앞,127.0390097926,37.6780129064,"0"
"109900041","10779",신일라이프아파트,127.0298860574,37.6508763972,"0"
"109900040","10780",약초원.동아슈퍼,127.0160406788,37.6545548887,"0"
"109900039","10781",도봉초등학교,127.0404435695,37.6783013584,"0"
"109900038","10783",우이1교,127.0317993955,37.6438887396,"0"
"109900037","10784",우이성당,127.0156935104,37.6560215642,"0"
"109900036","10785",엘지전자,127.0313626384,37.650994373,"0"
"109900035","10786",한신아파트정문,127.0504180713,37.6864589121,"0"
"109900034","10787",윤성빌라.다리앞,127.0423896239,37.6789318853,"0"
"109900033","10789",한일병원입구,127.0291861007,37.6444359955,"0"
"109900032","10790",청한빌라,127.0152443195,37.657309191,"0"
"109900031","10791",도봉파크빌3단지,127.049351297,37.6879849018,"0"
"109900030","10792",도봉1파출소,127.0434267211,37.6795255481,"0"
"109900155","10797",도봉1동주민센터.럭키아파트,127.043579892,37.6786378562,"2"
"109900029","10798",신동아아파트16동,127.0277549961,37.6601945508,"0"
"109900028","10799",도봉산역,127.0466218227,37.6893523043,"0"
"109900027","10800",성황당,127.0436376988,37.6769481802,"2"
"109900025","10802",도봉파크빌3단지,127.0492538689,37.6879546953,"0"
