상권_코드,상권_코드_명,id,구,총_유동인구_수,2020_총_유동인구_수_합격(상권코드),2019_총_유동인구_수_합격(상권코드),2018_총_유동인구_수_합격(상권코드)
1000503,월드컵로7길,13,마포구,4796486,20545713,22199252,8805362
1000502,월드컵로36길,13,마포구,4935076,20091659,20099439,4517537
1000501,월드컵로25길,13,마포구,6985640,27806943,25896949,7377890
1000500,월드컵로19길,13,마포구,5573824,23517781,22807498,8283543
1000499,월드컵로16길,13,마포구,5734551,24243116,22516254,8063296
1000498,월드컵로11길,13,마포구,5808902,24017367,24664778,8974473
1000497,월드컵로10길,13,마포구,5489179,23042163,22974328,9355103
1000496,와우산로3길,13,마포구,2872856,12174013,13355065,8917386
1000495,와우산로29길,13,마포구,3540869,14639683,16509700,9266341
1000494,와우산로29가길,13,마포구,3152041,12777056,14407351,9735095
1000493,양화진길,13,마포구,2582272,10731619,12239546,8068263
1000492,양화로1길,13,마포구,3818566,16017405,16767238,7057290
1000491,양화로11길,13,마포구,4304979,17766802,19371720,11270550
1000490,신촌로30길,13,마포구,4043306,16954915,16547959,7305826
1000489,신촌로28가길,13,마포구,3939565,16474728,15917814,7145015
1000488,신촌로12길,13,마포구,5037652,21167987,24177290,16124316
1000487,숭문길,13,마포구,4096895,16026974,16654082,6257564
1000486,숭문8길,13,마포구,3856778,15255379,15138711,4622582
1000485,성지3길,13,마포구,2463210,10035793,11437538,7745955
1000484,성산로4길,13,마포구,5304629,21220934,21029120,5237759
1000483,성미산로32길,13,마포구,4463360,18487943,18101251,8276554
1000482,성미산로1길,13,마포구,6195832,25954822,24641487,6797186
1000481,성미산로11길,13,마포구,4233332,17029721,16466224,6133825
1000480,백범로16길,13,마포구,6049523,24338144,24365614,9518399
1000479,방울내로9안길,13,마포구,5810942,23747776,23459597,5867760
1000478,모래내로7길,13,마포구,3668409,15337443,15354730,4075431
1000477,매봉산로2길,13,마포구,2180691,9108538,9158932,3330124
1000476,망원로2길,13,마포구,6804908,26350153,26032985,7583517
1000475,망원로11길,13,마포구,6126002,26074340,25448387,7453512
1000474,만리재옛길,13,마포구,6679648,28135961,28581589,9198937
1000473,마포대로4길,13,마포구,4514886,18122171,17408671,9743512
1000472,마포대로20길,13,마포구,4590816,19465308,20521114,7467207
1000471,마포대로12길,13,마포구,5116591,21268026,21880014,9387664
1000470,동교로38길,13,마포구,5256024,21744920,23384587,11154118
1000469,동교로27길,13,마포구,5916709,24874077,26068921,13863007
1000468,동교로25길,13,마포구,4468605,18177802,18744931,10379413
1000467,동교로19길,13,마포구,4399707,18075929,17958011,8521851
1000466,동교로17길,13,마포구,5019184,20941803,21192930,9583508
1000465,독막로8길,13,마포구,2731763,11476148,13362724,8857834
1000464,독막로32길,13,마포구,5780110,23492582,22905812,8827388
1000463,독막로22길,13,마포구,2736062,11208802,11061346,4012915
1000462,도화길,13,마포구,5197919,20895437,21516869,14796327
1000461,도화4길,13,마포구,5437129,21877134,22467908,11910419
1000460,대흥로28길,13,마포구,4177273,17351748,17675163,8488115
1000459,대흥로21길,13,마포구,6203940,26311368,29546937,25323501
1000458,광성로6길,13,마포구,4306071,17266145,17316723,7309553
1000457,홍제내길,14,서대문구,2701385,9794277,9912893,2634369
1000456,홍연길,14,서대문구,3441562,14546833,15848725,3350565
1000455,통일로39길,14,서대문구,3901192,16158895,18494455,6624907
1000454,통일로37길,14,서대문구,4586010,19766886,21092256,7022530
1000453,통일로11길,14,서대문구,2613182,10277639,9639330,4008720
1000452,충정로6길,14,서대문구,3012783,12515859,14203006,9982061
1000451,충정로4길,14,서대문구,10794810,39626687,40098024,25109975
1000450,증가로6길,14,서대문구,5525600,23187281,23826347,6962278
1000449,증가로23나길,14,서대문구,9302855,37977718,37435642,9330779
1000448,증가로20가길,14,서대문구,7554904,30533739,29062550,5873656
1000447,증가로10길,14,서대문구,5489697,22739183,23524211,7213290
1000446,응암로1길,14,서대문구,6060539,24629488,24378548,6330649
1000445,연희로10길,14,서대문구,2444948,10001857,10388304,4810768
1000444,신촌로37길,14,서대문구,17021456,62879525,61509650,33304946
1000443,수색로8길,14,서대문구,2997477,12989848,13357284,3644954
1000442,세무서길,14,서대문구,5269211,21686416,22115930,7625875
1000441,세무서2길,14,서대문구,4738119,19783154,18303151,5181615
1000440,세검정로1길,14,서대문구,4636252,18543128,19254458,6663585
1000439,북아현로4길,14,서대문구,18543225,68723055,66466589,35725738
1000438,모래내로15길,14,서대문구,4300716,18004820,17430695,5300675
1000437,명지대길,14,서대문구,5673946,22854816,23079801,6502004
1000436,독립문로8길,14,서대문구,6085655,24297737,24728376,8222082
1000435,가재울로6길,14,서대문구,4316099,18335363,19517665,5668108
1000434,통일로92길,14,서대문구,6296339,25362183,25399413,7224156
